protein_id	protein_name	copy_number
EPJHOH_24965	IS6 family IS15DIV transposase	11
EPJHOH_06880	IS110 family IS5075 transposase	6
EPJHOH_25290	IS5 family ISKpn26 transposase	5
EPJHOH_11300	IS5 family IS903B transposase	3
EPJHOH_20820	Transposase InsE and inactivated derivatives	2
EPJHOH_20810	IS66 family ISKpn49 transposase	2
EPJHOH_25980	DNA methyltransferase	2
EPJHOH_25985	Plasmid mobilization relaxosome protein MobC	2
EPJHOH_25995	MbeD family mobilization/exclusion protein	2
EPJHOH_25990	Protein MobB	2
EPJHOH_26000	Addiction module toxin RelE	2
EPJHOH_19865	class I fumarate hydratase FumA	2
EPJHOH_19185	Lipoprotein	2
EPJHOH_20815	IS66 family insertion sequence element accessory protein TnpB	2
EPJHOH_04365	lysine--tRNA ligase	2
EPJHOH_26010	replication initiation protein	2
EPJHOH_26005	NadS family protein	2
EPJHOH_11315	Maltoporin	2
EPJHOH_20785	ISNCY family transposase	2
EPJHOH_20790	TIR domain-containing protein	2
EPJHOH_10855	sodium-extruding oxaloacetate decarboxylase subunit alpha	2
EPJHOH_10860	Oxaloacetate decarboxylase beta chain	2
EPJHOH_16830	DMSO/selenate family reductase complex B subunit	2
EPJHOH_25505	IS1 family transposase ORF B	2
EPJHOH_06370	elongation factor Tu	2
EPJHOH_25040	Tn3-like element ISPa38 family transposase	2
EPJHOH_25295	glutaredoxin-dependent arsenate reductase	2
EPJHOH_25300	Na+/H+ antiporter NhaD or related arsenite permease	2
EPJHOH_25315	As(III)-sensing metalloregulatory transcriptional repressor ArsR	2
EPJHOH_12190	Oxaloacetate decarboxylase gamma chain	2
